p                   	svf                 	pd                  	30060	30070	90190	40090	902320	922330	922350	922380	942380	942390	942400	942410	942420	Judge(1_yes)        
2	90	50	0.004862552	97.2461764	215.3415863	24.31275974	0.814043989	0	2.482832049	14.06938161	0	0	0	0	0	0
40	5	100.0001639	0.108509057	2170.079853	4805.409786	542.5462989	380.6193772	6.913600804	0	0	0	0	0	0	0	1
30	45	70	0.548670123	10972.8538	24298.24832	2743.350616	1729.902972	0	0	0	7.085822702	120.4589859	56.42414374	28.08085293	17.58333782	1
